date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:42	370/370	---M--	200	added ('OK')	text/plain	date:Fri,%2004%20Nov%202022%2014:29:45%20GMT	https://www.boshjerns.art/robots.txt		(from )
10:29:42	379534/379534	---MCZ	200	added ('OK')	text/html	etag:W/%2205475c96fd931b9b9782a96acfe4f44d%22	https://www.boshjerns.art/	C:/My%20Web%20Sites/new/www.boshjerns.art/index.html	(from )
10:29:43	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/new/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.boshjerns.art/)
10:29:44	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/new/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.boshjerns.art/)
10:29:45	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:52%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/new/polyfill.io/v3/polyfill.mind82c.js	(from https://www.boshjerns.art/)
10:29:46	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/new/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.boshjerns.art/)
10:29:47	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:29:50%20GMT	https://www.boshjerns.art/decodeURIComponent(e	C:/My%20Web%20Sites/new/www.boshjerns.art/decodeURIComponent(e.4.delayed	(from https://www.boshjerns.art/)
10:29:48	245/245	---M--	200	added ('OK')	text/xml	date:Fri,%2004%20Nov%202022%2014:29:51%20GMT	https://www.boshjerns.art/sitemap.xml	C:/My%20Web%20Sites/new/www.boshjerns.art/sitemap.xml	(from https://www.boshjerns.art/)
10:29:49	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:29:52%20GMT	https://www.boshjerns.art/feed.xml	C:/My%20Web%20Sites/new/www.boshjerns.art/feed.6.delayed	(from https://www.boshjerns.art/)
10:29:50	185069/185069	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b4dc154313c14eae63c61ae81b9d5842%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.42e41f7d.bundle.min.js	C:/My%20Web%20Sites/new/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.42e41f7d.bundle.min.js	(from https://www.boshjerns.art/)
10:29:51	186300/186300	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c2096813a0cb8bead61dd1f0834c9572%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.88894cfb.bundle.min.js	C:/My%20Web%20Sites/new/static.parastorage.com/services/wix-thunderbolt/dist/main.88894cfb.bundle.min.js	(from https://www.boshjerns.art/)
10:29:51	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/new/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.boshjerns.art/)
10:29:52	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/My%20Web%20Sites/new/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.boshjerns.art/)
10:29:53	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/new/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://www.boshjerns.art/)
10:29:54	41172/41172	---M-Z	200	added ('OK')	application/javascript	etag:W/%2272cd3e3e90088aa5acd84acd0d7346c6%22	https://static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	C:/My%20Web%20Sites/new/static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	(from https://www.boshjerns.art/)
10:29:54	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:29:57%20GMT	https://www.boshjerns.art/version/	C:/My%20Web%20Sites/new/www.boshjerns.art/version/index.html	(from https://www.boshjerns.art/)
10:29:55	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	C:/My%20Web%20Sites/new/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://www.boshjerns.art/)
10:29:55	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:29:59%20GMT	https://www.boshjerns.art/99a6a99f.min.css	C:/My%20Web%20Sites/new/www.boshjerns.art/99a6a99f.min.e.delayed	(from https://www.boshjerns.art/)
10:29:56	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:30:00%20GMT	https://www.boshjerns.art/08241ed1.chunk.min.js	C:/My%20Web%20Sites/new/www.boshjerns.art/08241ed1.chunk.min.f.delayed	(from https://www.boshjerns.art/)
10:29:57	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:30:01%20GMT	https://www.boshjerns.art/c58e6b29.chunk.min.js	C:/My%20Web%20Sites/new/www.boshjerns.art/c58e6b29.chunk.min.10.delayed	(from https://www.boshjerns.art/)
